Date,Temp,Cond,pH
2020-Jun-03 19:59,16.83,135.50,7.00
2020-Jun-03 20:59,17.38,135.50,7.00
2020-Jun-03 21:59,16.86,135.40,7.00
2020-Jun-03 22:59,17.10,135.80,7.00
2020-Jun-03 23:59,16.95,134.90,7.00
2020-Jun-04 00:59,17.08,134.30,7.00
2020-Jun-04 01:59,16.81,134.50,7.00
2020-Jun-04 02:59,16.67,133.70,7.00
2020-Jun-04 03:59,17.47,133.40,7.01
2020-Jun-04 04:59,17.45,133.80,7.00
2020-Jun-04 05:59,17.35,134.50,7.01
2020-Jun-04 08:59,17.39,135.10,7.00
2020-Jun-04 09:59,17.67,135.70,7.01
2020-Jun-04 10:45,17.61,135.10,7.01
2020-Jun-04 10:59,17.55,136.80,7.01
2020-Jun-04 11:59,17.54,137.70,7.00
2020-Jun-04 12:59,17.55,136.60,7.00
2020-Jun-04 13:59,17.68,134.70,7.00
2020-Jun-04 14:59,17.78,137.90,7.00
2020-Jun-04 15:59,17.81,138.40,7.00
2020-Jun-04 16:59,17.30,135.60,7.00
2020-Jun-04 17:59,17.51,138.80,7.00
2020-Jun-04 18:59,17.31,139.70,7.00
2020-Jun-04 19:59,16.08,139.10,7.00
2020-Jun-04 20:59,16.14,138.90,7.01
2020-Jun-04 21:59,15.90,138.40,7.00
2020-Jun-04 22:59,15.40,137.80,7.00
2020-Jun-04 23:59,15.03,137.10,7.00
2020-Jun-05 00:59,14.98,136.70,7.00
2020-Jun-05 01:59,14.88,135.80,7.00
2020-Jun-05 02:59,14.05,134.80,7.00
2020-Jun-05 03:59,16.91,134.40,7.00
2020-Jun-05 04:59,14.90,135.40,7.00
2020-Jun-05 05:59,15.70,135.70,7.00
2020-Jun-05 06:59,15.82,135.20,7.00
2020-Jun-05 07:59,15.87,134.90,7.00
2020-Jun-05 08:59,16.06,134.90,7.00
2020-Jun-05 09:59,16.69,135.90,7.00
2020-Jun-05 10:59,16.96,133.40,7.00
2020-Jun-05 11:59,17.20,134.10,7.01
2020-Jun-05 12:59,17.31,134.70,7.00
2020-Jun-05 13:59,17.12,138.80,7.00
2020-Jun-05 14:59,17.12,137.40,7.00
2020-Jun-05 15:59,17.30,135.90,7.00
2020-Jun-05 16:59,16.65,137.20,7.00
2020-Jun-05 17:59,18.09,141.40,7.00
2020-Jun-05 18:59,16.72,142.00,7.00
2020-Jun-05 19:59,16.59,142.30,7.00
2020-Jun-05 20:59,15.63,141.70,7.00
2020-Jun-05 21:59,15.39,140.80,7.00
2020-Jun-05 22:59,15.90,140.50,7.00
2020-Jun-05 23:59,14.64,140.20,7.00
2020-Jun-06 00:59,15.02,139.50,7.00
2020-Jun-06 01:59,14.52,138.70,7.00
2020-Jun-06 02:59,13.80,138.00,7.00
2020-Jun-06 03:59,16.89,136.90,7.00
2020-Jun-06 04:59,16.55,138.20,7.00
2020-Jun-06 05:59,16.52,136.50,7.00
2020-Jun-06 06:59,17.03,137.10,7.00
2020-Jun-06 07:59,16.74,137.00,7.00
2020-Jun-06 08:59,17.05,137.60,7.00
2020-Jun-06 09:59,17.21,139.50,7.00
2020-Jun-06 10:59,17.10,139.20,7.00
2020-Jun-06 11:59,17.74,138.90,7.00
2020-Jun-06 12:59,17.43,141.50,7.00
2020-Jun-06 13:59,17.97,142.30,7.00
2020-Jun-06 14:59,18.02,142.80,7.00
2020-Jun-06 15:59,17.38,144.10,7.00
2020-Jun-06 16:59,18.08,143.70,7.00
2020-Jun-06 17:59,17.57,143.00,7.00
2020-Jun-06 18:59,16.95,145.90,7.00
2020-Jun-06 19:59,16.40,145.70,7.00
2020-Jun-06 20:59,15.78,145.60,7.00
2020-Jun-06 21:59,16.08,145.70,7.00
2020-Jun-06 22:59,16.28,146.10,7.00
2020-Jun-06 23:59,16.02,145.50,7.00
2020-Jun-07 00:59,15.22,145.00,7.00
2020-Jun-07 01:59,15.18,144.40,7.00
2020-Jun-10 18:36,19.67,106.40,7.00
2020-Jun-10 18:37,19.67,106.60,7.00
2020-Jun-10 18:42,19.67,106.50,7.00
2020-Jun-10 18:43,19.67,106.50,7.00
2020-Jun-10 18:59,19.67,106.30,7.00
2020-Jun-10 19:59,19.61,106.50,7.00
2020-Jun-10 20:59,19.50,107.30,7.00
2020-Jun-10 21:59,19.34,106.60,7.00
2020-Jun-10 22:59,19.16,106.90,6.99
2020-Jun-10 23:59,18.95,106.80,7.00
